FREQ,TIME_FORMAT,TIME_PERIOD,STK_FLOW,UNIT,PARTNER,GEO,OBS_STATUS,OBS_VALUE,FREQ_DESC,TIME_FORMAT_DESC,TIME_PERIOD_DESC,OBS_STATUS_DESC,STK_FLOW_DESC,UNIT_DESC,PARTNER_DESC,GEO_DESC
A,P1Y,2007,EXP,PC_TOT,EXT_EU28,RO,,3,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Extra EU-28,Romania
A,P1Y,2007,EXP,PC_TOT,EXT_EU28,SE,,18.9,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Extra EU-28,Sweden
A,P1Y,2007,EXP,PC_TOT,EXT_EU28,SI,,9.9,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Extra EU-28,Slovenia
A,P1Y,2007,EXP,PC_TOT,EXT_EU28,SK,,6.1,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Extra EU-28,Slovakia
A,P1Y,2007,EXP,PC_TOT,EXT_EU28,UK,,20.5,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Extra EU-28,United Kingdom
A,P1Y,2007,EXP,PC_TOT,INT_EU28,AT,,9.9,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Intra-EU-28,Austria
A,P1Y,2007,EXP,PC_TOT,INT_EU28,BE,,6,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Intra-EU-28,Belgium
A,P1Y,2007,EXP,PC_TOT,INT_EU28,CY,,16.4,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Intra-EU-28,Cyprus
A,P1Y,2007,EXP,PC_TOT,INT_EU28,CZ,,13.2,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Intra-EU-28,Czechia
A,P1Y,2007,EXP,PC_TOT,INT_EU28,DE,,11.8,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Intra-EU-28,Germany
A,P1Y,2007,EXP,PC_TOT,INT_EU28,DK,,9.5,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Intra-EU-28,Denmark
A,P1Y,2007,EXP,PC_TOT,INT_EU28,EE,,9.4,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Intra-EU-28,Estonia
A,P1Y,2007,EXP,PC_TOT,INT_EU28,EL,,4.8,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Intra-EU28 (current composition),Greece
A,P1Y,2007,EXP,PC_TOT,INT_EU28,ES,,3.9,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Intra-EU-28,Spain
A,P1Y,2007,EXP,PC_TOT,INT_EU28,FI,,14.2,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Intra-EU-28,Finland
A,P1Y,2007,EXP,PC_TOT,INT_EU28,FR,,12.2,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Intra-EU-28,France
A,P1Y,2007,EXP,PC_TOT,INT_EU28,HR,,5.9,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Intra-EU-28,Croatia
A,P1Y,2007,EXP,PC_TOT,INT_EU28,HU,,17,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Intra-EU-28,Hungary
A,P1Y,2007,EXP,PC_TOT,INT_EU28,IE,,23.8,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Intra-EU-28,Ireland
A,P1Y,2007,EXP,PC_TOT,INT_EU28,IT,,5,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Intra-EU-28,Italy
A,P1Y,2007,EXP,PC_TOT,INT_EU28,LT,,8.4,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Intra-EU-28,Lithuania
