Year,Partner,Value (in Millions),Country,Population
2013,EU Member States,22531,United Kingdom,64128226
2013,the World,18786,Austria,8479823
2013,the World,30740,Belgium,11159407
2013,the World,276,Cyprus,1143866
2013,the World,18431,Czech Republic,10514272
2013,the World,155251,Germany,80645605
2013,the World,7765,Denmark,5614932
2013,the World,1835,Estonia,1317997
2013,the World,743,Greece,10965211
2013,the World,13025,Spain,46620045
2013,the World,3464,Finland,5438972
2013,the World,89299,France,65998687
2013,the World,750,Croatia,4255689
2013,the World,13205,Hungary,9893082
2013,the World,18368,Ireland,4623816
2013,the World,25929,Italy,60233948
2013,the World,1435,Lithuania,2957689
2013,the World,3037,Luxembourg,543360
2013,the World,876,Latvia,2012647
2013,the World,784,Malta,425967
2013,the World,89559,Netherlands,16804432
2013,the World,10274,Poland,38040196
2013,the World,1609,Portugal,10457295
2013,the World,2766,Romania,19983693
2013,the World,16463,Sweden,9600379
2013,the World,1405,Slovenia,2059953
2013,the World,6230,Slovak Republic,5413393
2013,the World,62941,United Kingdom,64128226
2014,non-EU Countries,7120,Austria,8546356
2014,non-EU Countries,13407,Belgium,11209057
2014,non-EU Countries,387,Bulgaria,7223938
2014,non-EU Countries,47,Cyprus,1152285
2014,non-EU Countries,4919,Czech Republic,10525347
2014,non-EU Countries,76622,Germany,80982500
2014,non-EU Countries,4319,Denmark,5643475
2014,non-EU Countries,366,Estonia,1314545
2014,non-EU Countries,277,Greece,10892413
2014,non-EU Countries,5978,Spain,46480882
2014,non-EU Countries,2313,Finland,5461512
2014,non-EU Countries,47310,France,66316100
2014,non-EU Countries,366,Croatia,4238389
2014,non-EU Countries,3213,Hungary,9866468
2014,non-EU Countries,8711,Ireland,4657740
2014,non-EU Countries,14010,Italy,60789140
2014,non-EU Countries,687,Lithuania,2932367
2014,non-EU Countries,468,Luxembourg,556319
2014,non-EU Countries,277,Latvia,1993782
2014,non-EU Countries,495,Malta,434558
2014,non-EU Countries,22695,Netherlands,16865008
2014,non-EU Countries,3513,Poland,38011735
2014,non-EU Countries,706,Portugal,10401062
2014,non-EU Countries,569,Romania,19908979
2014,non-EU Countries,8615,Sweden,9696110
2014,non-EU Countries,531,Slovenia,2061980
2014,non-EU Countries,990,Slovak Republic,5418649
2014,non-EU Countries,37517,United Kingdom,64613160
2014,EU Member States,12150,Austria,8546356
2014,EU Member States,20746,Belgium,11209057
2014,EU Member States,482,Bulgaria,7223938
2014,EU Member States,77,Cyprus,1152285
2014,EU Member States,15249,Czech Republic,10525347
2014,EU Member States,83807,Germany,80982500
2014,EU Member States,3925,Denmark,5643475
2014,EU Member States,1602,Estonia,1314545
2014,EU Member States,728,Greece,10892413
2014,EU Member States,6628,Spain,46480882
2014,EU Member States,1417,Finland,5461512
2014,EU Member States,43740,France,66316100
2014,EU Member States,319,Croatia,4238389
2014,EU Member States,8875,Hungary,9866468
2014,EU Member States,10328,Ireland,4657740
2014,EU Member States,12748,Italy,60789140
2014,EU Member States,909,Lithuania,2932367
2014,EU Member States,2357,Luxembourg,556319
2014,EU Member States,781,Latvia,1993782
2014,EU Member States,137,Malta,434558
2014,EU Member States,71635,Netherlands,16865008
2014,EU Member States,9609,Poland,38011735
2014,EU Member States,1035,Portugal,10401062
2014,EU Member States,2808,Romania,19908979
2014,EU Member States,7389,Sweden,9696110
2014,EU Member States,918,Slovenia,2061980
2014,EU Member States,5446,Slovak Republic,5418649
2014,EU Member States,21860,United Kingdom,64613160
2014,the World,19270,Austria,8546356
2014,the World,34153,Belgium,11209057
2014,the World,869,Bulgaria,7223938
2014,the World,124,Cyprus,1152285
2014,the World,20168,Czech Republic,10525347
2014,the World,160429,Germany,80982500
2014,the World,8244,Denmark,5643475
2014,the World,1968,Estonia,1314545
2014,the World,1005,Greece,10892413
2014,the World,12606,Spain,46480882
2014,the World,3731,Finland,5461512
2014,the World,91050,France,66316100
2014,the World,686,Croatia,4238389
2014,the World,12088,Hungary,9866468
2014,the World,19039,Ireland,4657740
2014,the World,26759,Italy,60789140
2014,the World,1596,Lithuania,2932367
2014,the World,2825,Luxembourg,556319
2014,the World,1057,Latvia,1993782
2014,the World,633,Malta,434558
2014,the World,94330,Netherlands,16865008
2014,the World,13122,Poland,38011735
2014,the World,1741,Portugal,10401062
2014,the World,3377,Romania,19908979
2014,the World,16004,Sweden,9696110
2014,the World,1449,Slovenia,2061980
2014,the World,6436,Slovak Republic,5418649
2014,the World,59377,United Kingdom,64613160
2015,non-EU Countries,7452,Austria,8642699
2015,non-EU Countries,14369,Belgium,11274196
2015,non-EU Countries,441,Bulgaria,7177991
2015,non-EU Countries,48,Cyprus,1160985
2015,non-EU Countries,4996,Czech Republic,10546059
2015,non-EU Countries,86526,Germany,81686611
2015,non-EU Countries,4961,Denmark,5683483
2015,non-EU Countries,310,Estonia,1315407
2015,non-EU Countries,344,Greece,10820883
2015,non-EU Countries,6921,Spain,46444832
2015,non-EU Countries,2033,Finland,5479531
2015,non-EU Countries,55065,France,66593366
2015,non-EU Countries,333,Croatia,4203604
2015,non-EU Countries,3243,Hungary,9843028
2015,non-EU Countries,14206,Ireland,4701957
2015,non-EU Countries,14501,Italy,60730582
2015,non-EU Countries,714,Lithuania,2904910
2015,non-EU Countries,505,Luxembourg,569604
2015,non-EU Countries,400,Latvia,1977527
2015,non-EU Countries,451,Malta,445053
2015,non-EU Countries,24555,Netherlands,16939923
2015,non-EU Countries,3902,Poland,37986412
2015,non-EU Countries,731,Portugal,10358076
2015,non-EU Countries,671,Romania,19815481
2015,non-EU Countries,8999,Sweden,9799186
2015,non-EU Countries,619,Slovenia,2063531
2015,non-EU Countries,1004,Slovak Republic,5423801
2015,non-EU Countries,46346,United Kingdom,65128861
